Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
HealthCareAppSuite,Chrome 123.0.0.0,,,01-04-2024 17:23:37,01-04-2024 17:23:49,12.141s,PASSED
,,,,,,,
Test Cases/HealthCareApp,Chrome 123.0.0.0,,,01-04-2024 17:23:37,01-04-2024 17:23:49,12.032s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 123.0.0.0,,,01-04-2024 17:23:37,01-04-2024 17:23:37,0.007s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,01-04-2024 17:23:37,01-04-2024 17:23:39,1.354s,PASSED
navigateToUrl(url),Chrome 123.0.0.0,,,01-04-2024 17:23:39,01-04-2024 17:23:42,3.865s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 123.0.0.0,,,01-04-2024 17:23:42,01-04-2024 17:23:43,0.671s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), username)",Chrome 123.0.0.0,,,01-04-2024 17:23:43,01-04-2024 17:23:44,0.786s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), password)",Chrome 123.0.0.0,,,01-04-2024 17:23:44,01-04-2024 17:23:44,0.291s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 123.0.0.0,,,01-04-2024 17:23:44,01-04-2024 17:23:45,0.923s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), healthcareCenter, true)",Chrome 123.0.0.0,,,01-04-2024 17:23:45,01-04-2024 17:23:46,0.962s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Apply for hospital readmission_hospit_63901f""))",Chrome 123.0.0.0,,,01-04-2024 17:23:46,01-04-2024 17:23:46,0.262s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/span_Visit Date (Required)_glyphicon glyphi_cada34""))",Chrome 123.0.0.0,,,01-04-2024 17:23:46,01-04-2024 17:23:47,0.266s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/td_30""))",Chrome 123.0.0.0,,,01-04-2024 17:23:47,01-04-2024 17:23:47,0.458s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/textarea_Comment_comment""), appointmentComment)",Chrome 123.0.0.0,,,01-04-2024 17:23:47,01-04-2024 17:23:48,0.706s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 123.0.0.0,,,01-04-2024 17:23:48,01-04-2024 17:23:48,0.530s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Go to Homepage""))",Chrome 123.0.0.0,,,01-04-2024 17:23:48,01-04-2024 17:23:49,0.745s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,01-04-2024 17:23:49,01-04-2024 17:23:49,0.118s,PASSED
Start listener action : sampleAfterTestCase,Chrome 123.0.0.0,,,01-04-2024 17:23:49,01-04-2024 17:23:49,0.001s,PASSED
